No UNIDAD,DIA,MES,HORA SALIDA,TIEMPO DE VIAJE,DISTANCIA METROS,LONGITUD SALIDA,LATITUD SALIDA,LONGITUD LLEGADA,LATITUD LLEGADA,DT,SALIDA,SALIDA2,,,
3,3,1,11.85916667,13.35,5969,-116.907647,32.51653,-116.872131,32.495147,8.9166667,INCREMENTO,1,,,
5,3,1,13.73222222,7.716666667,4142,-116.966337,32.499762,-116.964751,32.505011,-2.7166667,DP,2,,,
6,3,1,14.07972222,11.63333333,9551,-116.90563,32.54381,-116.967222,32.517042,0.1666667,INCREMENTO,1,,,
5,3,1,14.63388889,16.81666667,6907,-116.966017,32.505787,-116.959524,32.531094,-8.8833333,DM,3,,,
7,3,1,14.81638889,1.266666667,294,-116.902441,32.465959,-116.899984,32.465341,-0.2666667,INCREMENTO,1,,,
2,3,1,17.53916667,33.41666667,23027,-116.832655,32.462807,-117.010003,32.525442,-10.1833333,DM,3,,,
7,3,1,18.70111111,3.066666667,1774,-116.889128,32.459879,-116.887879,32.452342,0.95,INCREMENTO,1,,,
5,3,1,19.31555556,12.78333333,6688,-116.986132,32.485123,-116.956854,32.499068,-3.7833333,DP,2,,,
2,3,1,19.45138889,25.08333333,12832,-116.931108,32.403113,-116.914667,32.46555,-4.6,DP,2,,,
6,3,1,21.00972222,24.83333333,9946,-116.94555,32.540958,-117.010002,32.525517,-12.4,DM,3,,,
5,4,1,7.650833333,9.883333333,5561,-116.962689,32.508441,-116.92062,32.505588,-2.8833333,DP,2,,,
6,4,1,7.967222222,0.766666667,197,-116.970965,32.492145,-116.970388,32.493847,1.2333333,INCREMENTO,1,,,
5,4,1,8.566666667,6.883333333,3003,-116.962659,32.505359,-116.962026,32.511223,5.1166667,INCREMENTO,1,,,
7,4,1,8.754722222,18.85,7398,-116.822793,32.489983,-116.873821,32.467657,-1.85,DP,2,,,
7,4,1,9.654722222,20.66666667,9711,-116.885357,32.449414,-116.890401,32.523189,-4.65,DP,2,,,
3,4,1,11.22138889,22.61666667,17561,-116.987174,32.513924,-116.868889,32.488128,-0.6166667,INCREMENTO,1,,,
